"areaCode","year","itemCode","productionValue","productionSymb"
107,2011,813,2100,"F"
131,1961,813,48800,"F"
131,1962,813,44500,"F"
131,1963,813,44600,"F"
131,1964,813,41200,"F"
131,1965,813,43200,"F"
131,1966,813,46800,"F"
131,1967,813,46400,"F"
131,1968,813,50200,"F"
131,1969,813,47500,"F"
131,1970,813,51700,"F"
131,1971,813,48800,"F"
131,1972,813,46300,"F"
131,1973,813,43900,"F"
131,1974,813,43300,"F"
131,1975,813,51100,"F"
131,1976,813,49200,"F"
131,1977,813,45000,"F"
131,1978,813,41400,"F"
131,1979,813,43900,"F"
131,1980,813,47600,"F"
131,1981,813,49200,"F"
131,1982,813,50100,"F"
131,1983,813,49400,"F"
131,1984,813,48000,"F"
131,1985,813,48400,"F"
131,1986,813,46700,"F"
131,1987,813,40900,"F"
131,1988,813,45400,"F"
131,1989,813,45300,"F"
131,1990,813,45400,"F"
131,1991,813,40100,"F"
131,1992,813,41800,"F"
131,1993,813,42100,"F"
131,1994,813,40700,"F"
131,1995,813,41000,"F"
131,1996,813,37100,"F"
131,1997,813,35600,"F"
131,1998,813,30200,"F"
131,1999,813,29800,"F"
131,2000,813,29400,"F"
131,2001,813,28500,"F"
131,2002,813,28500,"F"
131,2003,813,23900,"F"
131,2004,813,25700,"F"
131,2005,813,23400,"F"
131,2006,813,23400,"F"
131,2007,813,23400,"F"
131,2008,813,20600,"F"
131,2009,813,20000,"F"
131,2010,813,20000,"F"
131,2011,813,20000,"F"
216,1961,813,700,"F"
216,1962,813,1000,"F"
216,1963,813,1500,"F"
216,1964,813,2500,"F"
216,1965,813,2000,"F"
216,1966,813,1400,"F"
216,1967,813,1800,"F"
216,1968,813,2300,"F"
216,1969,813,1000,"F"
216,1970,813,1000,"F"
216,1971,813,2300,"F"
216,1972,813,2800,"F"
216,1973,813,3000,"F"
216,1974,813,5000,"F"
216,1975,813,5000,"F"
216,1976,813,5000,"F"
216,1977,813,3500,"F"
216,1978,813,3500,"F"
216,1979,813,6000,"F"
216,1980,813,7000,"F"
216,1981,813,5000,"F"
216,1982,813,2500,"F"
216,1983,813,4000,"F"
216,1984,813,7000,"F"
216,1985,813,4500,"F"
216,1986,813,5700,"F"
216,1987,813,6100,"F"
216,1988,813,8000,"F"
216,1989,813,7800,"F"
216,1990,813,8900,"F"
216,1991,813,8900,"F"
216,1992,813,8900,"F"
216,1993,813,10000,"F"
216,1994,813,9000,"F"
216,1995,813,8000,"F"
216,1996,813,8000,"F"
216,1997,813,8000,"F"
216,1998,813,8000,"F"
216,1999,813,9000,"F"
216,2000,813,9000,"F"
216,2001,813,14000,"F"
216,2002,813,20000,"F"
216,2003,813,32000,"F"
216,2004,813,46000,"F"
216,2005,813,40000,"F"
216,2006,813,40000,"F"
216,2007,813,50000,"F"
216,2008,813,50000,"F"
216,2009,813,60000,"F"
216,2010,813,60000,"T"
216,2011,813,60000,"T"
237,1961,813,0,"M"
237,1962,813,0,"M"
237,1963,813,0,"M"
237,1964,813,0,"M"
237,1965,813,0,"M"
237,1966,813,0,"M"
237,1967,813,0,"M"
237,1968,813,0,"M"
237,1969,813,0,"M"
237,1970,813,0,"M"
237,1971,813,0,"M"
237,1972,813,0,"M"
237,1973,813,0,"M"
237,1974,813,0,"M"
237,1975,813,0,"M"
237,1976,813,0,"M"
237,1977,813,0,"M"
237,1978,813,0,"M"
237,1979,813,0,"M"
237,1980,813,0,"M"
237,1981,813,0,"M"
237,1982,813,0,"M"
237,1983,813,0,"M"
237,1984,813,0,"M"
237,1985,813,0,"M"
237,1986,813,0,"M"
237,1987,813,0,"M"
237,1988,813,0,"M"
237,1989,813,0,"M"
237,1990,813,0,"M"
237,1991,813,0,"M"
237,1992,813,0,"M"
237,1993,813,0,"M"
237,1994,813,0,"M"
237,1995,813,291300,"*"
237,1996,813,329500,"*"
237,1997,813,277700,"*"
237,1998,813,241000,"*"
237,1999,813,276000,"*"
237,2000,813,221200,"*"
237,2001,813,223000,"*"
237,2002,813,228800,"*"
237,2003,813,230000,"*"
237,2004,813,232650,"*"
237,2005,813,235000,"*"
237,2006,813,250000,"*"
237,2007,813,259000,"*"
237,2008,813,274000,"*"
237,2009,813,282000,"*"
237,2010,813,291000,"*"
237,2011,813,300400,"*"
